StateName,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party name
Haryana,FARIDABAD(10),KRISHAN PAL,788569,172914,Bharatiya Janata Party - BJP
Himachal Pradesh,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895,Bharatiya Janata Party - BJP
Himachal Pradesh,MANDI(2),KANGNA RANAUT,537022,74755,Bharatiya Janata Party - BJP
Himachal Pradesh,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357,Bharatiya Janata Party - BJP
Himachal Pradesh,SHIMLA(4),Suresh Kumar Kashyap,519748,91451,Bharatiya Janata Party - BJP
Jammu and Kashmir,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416,Jammu & Kashmir National Conference - JKN
Jammu and Kashmir,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794,Jammu & Kashmir National Conference - JKN
Jammu and Kashmir,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373,Bharatiya Janata Party - BJP
Jammu and Kashmir,JAMMU(5),JUGAL KISHORE,687588,135498,Bharatiya Janata Party - BJP
Jammu and Kashmir,BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142,Independent - IND
Jharkhand,Godda(3),NISHIKANT DUBEY,693140,101813,Bharatiya Janata Party - BJP
Jharkhand,Chatra(4),KALI CHARAN SINGH,574556,220959,Bharatiya Janata Party - BJP
Jharkhand,Kodarma(5),ANNPURNA DEVI,791657,377014,Bharatiya Janata Party - BJP
Jharkhand,Dhanbad(7),DULU MAHATO,789172,331583,Bharatiya Janata Party - BJP
Jharkhand,Ranchi(8),SANJAY SETH,664732,120512,Bharatiya Janata Party - BJP
Jharkhand,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782,Bharatiya Janata Party - BJP
Jharkhand,Palamau(13),VISHNU DAYAL RAM,770362,288807,Bharatiya Janata Party - BJP
Jharkhand,Hazaribagh(14),MANISH JAISWAL,654613,276686,Bharatiya Janata Party - BJP
Jharkhand,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264,Jharkhand Mukti Morcha - JMM
Jharkhand,Dumka(2),NALIN SOREN,547370,22527,Jharkhand Mukti Morcha - JMM
Jharkhand,Singhbhum(10),JOBA MAJHI,520164,168402,Jharkhand Mukti Morcha - JMM
Jharkhand,Khunti(11),KALI CHARAN MUNDA,511647,149675,Indian National Congress - INC
Jharkhand,Lohardaga(12),SUKHDEO BHAGAT,483038,139138,Indian National Congress - INC
Jharkhand,Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880,AJSU Party - AJSUP
Karnataka,Belgaum(2),JAGADISH SHETTAR,762029,178437,Bharatiya Janata Party - BJP
Karnataka,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399,Bharatiya Janata Party - BJP
Karnataka,Bijapur(4),RAMESH JIGAJINAGI,672781,77229,Bharatiya Janata Party - BJP
Karnataka,Haveri(10),BASAVARAJ BOMMAI,705538,43513,Bharatiya Janata Party - BJP
Karnataka,Dharwad(11),PRALHAD JOSHI,716231,97324,Bharatiya Janata Party - BJP
Karnataka,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428,Bharatiya Janata Party - BJP
Karnataka,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715,Bharatiya Janata Party - BJP
Karnataka,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175,Bharatiya Janata Party - BJP
Karnataka,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208,Bharatiya Janata Party - BJP
Karnataka,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121,Bharatiya Janata Party - BJP
Karnataka,Tumkur(19),V. SOMANNA,720946,175594,Bharatiya Janata Party - BJP
Karnataka,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262,Bharatiya Janata Party - BJP
Karnataka,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647,Bharatiya Janata Party - BJP
Karnataka,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476,Bharatiya Janata Party - BJP
Karnataka,Bangalore central(25),P C MOHAN,658915,32707,Bharatiya Janata Party - BJP
Karnataka,Bangalore South(26),TEJASVI SURYA,750830,277083,Bharatiya Janata Party - BJP
Karnataka,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460,Bharatiya Janata Party - BJP
Karnataka,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834,Indian National Congress - INC
Karnataka,Gulbarga(5),RADHAKRISHNA,652321,27205,Indian National Congress - INC
Karnataka,Raichur(6),G. KUMAR NAIK.,670966,79781,Indian National Congress - INC
Karnataka,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875,Indian National Congress - INC
Karnataka,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357,Indian National Congress - INC
Karnataka,Bellary(9),E. TUKARAM,730845,98992,Indian National Congress - INC
Karnataka,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094,Indian National Congress - INC
Karnataka,Hassan(16),SHREYAS. M. PATEL,672988,42649,Indian National Congress - INC
Karnataka,Chamarajanagar(22),SUNIL BOSE,751671,188706,Indian National Congress - INC
Karnataka,Mandya(20),H.D. KUMARASWAMY,851881,284620,Janata Dal  (Secular) - JD(S)
Karnataka,Kolar(28),M. MALLESH BABU,691481,71388,Janata Dal  (Secular) - JD(S)
Kerala,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,Indian National Congress - INC
